run_id,assay,well,sample,sample_type,sample_key,mean_max_posterior,median_max_posterior,mean_entropy,posterior_rowsum_min,posterior_rowsum_max,low_confidence_droplets
2020-10-15_SNV_D178N,D178N,D05,CJD18-17_hc_D178N,biological_sample,18_17_hc,0.9926088119890173,0.9995064173636389,0.023985244765610057,0.9999999999999999,1.0000000000000002,149
2020-10-15_SNV_D178N,D178N,D07,CJD18-24_hc_D178N,biological_sample,18_24_hc,0.9835029834492635,0.99852186474501,0.05258475963117776,0.9999999999999999,1.0000000000000002,263
2020-10-15_SNV_D178N,D178N,D09,CJD18-31_hc_D178N,biological_sample,18_31_hc,0.9552092375583099,0.9963360213266594,0.11632106046212157,0.9999999999999999,1.0000000000000002,793
2020-10-15_SNV_D178N,D178N,E03,CJD18-6_sn_D178N,biological_sample,18_6_sn,0.9863670928770063,0.9998396584023919,0.03659040651540456,0.9999999999999999,1.0000000000000002,302
2020-10-15_SNV_D178N,D178N,E05,CJD18-17_sn_D178N,biological_sample,18_17_sn,0.9748587995360085,0.999490253208309,0.0652593973212943,0.9999999999999999,1.0000000000000002,607
2020-10-15_SNV_D178N,D178N,E07,CJD18-24_sn_D178N,biological_sample,18_24_sn,0.94148759155532,0.9915241207959573,0.15047081767911827,0.9999999999999999,1.0000000000000002,1193
2020-10-15_SNV_D178N,D178N,E09,CJD18-31_sn_D178N,biological_sample,18_31_sn,0.9387666966939963,0.9974163998845518,0.14386337608984967,0.9999999999999999,1.0000000000000002,1394
2020-10-15_SNV_D178N,D178N,F03,CJD18-6_th_D178N,biological_sample,18_6_th,0.9940444053586999,0.9997585695973756,0.01697698885741082,0.9999999999999999,1.0000000000000002,121
2020-10-15_SNV_D178N,D178N,F05,CJD18-17_th_D178N,biological_sample,18_17_th,0.9931566932964124,0.9988932226377643,0.028272228449560927,0.9999999999999999,1.0000000000000002,67
2020-10-22_SNV_D178N,D178N,A01,NTC_E200K,NTC,ntc,0.9992190007701959,0.9999099254715776,0.004568972766042218,0.9999999999999999,1.0000000000000002,4
2020-10-22_SNV_D178N,D178N,A03,CJD13-21_bg_D178N,biological_sample,13_21_bg,0.9601600165257235,0.999655998398238,0.09573013728030672,0.9999999999999999,1.0000000000000002,1083
2020-10-22_SNV_D178N,D178N,A05,CJD14-24_bg_D178N,biological_sample,14_24_bg,0.9830645969784382,0.9997470073295216,0.04446696945469784,0.9999999999999999,1.0000000000000002,424
2020-10-22_SNV_D178N,D178N,A07,CJD20-08_bg_D178N,biological_sample,20_08_bg,0.9943343649853578,0.9997656606045909,0.018224264809506605,0.9999999999999999,1.0000000000000002,119
2020-10-22_SNV_D178N,D178N,A09,CJD19-29_fr_D178N,biological_sample,19_29_fr,0.9539836098649217,0.9979708309146409,0.11481442046800198,0.9999999999999999,1.0000000000000002,1380
2020-10-22_SNV_D178N,D178N,B01,WT_D178N,WT_control,wt,0.9955665474638165,0.9997617274938614,0.016047534574657917,0.9999999999999999,1.0000000000000002,55
2020-10-22_SNV_D178N,D178N,B03,CJD13-21_cb_D178N,biological_sample,13_21_cb,0.9735259726527951,0.9998264991019503,0.06486457209117773,0.9999999999999999,1.0000000000000002,830
2020-10-22_SNV_D178N,D178N,B05,CJD14-24_cb_D178N,biological_sample,14_24_cb,0.9843824815157209,0.9997588431923405,0.04062373245344405,0.9999999999999999,1.0000000000000002,394
2020-10-22_SNV_D178N,D178N,B07,CJD20-08_cb_D178N,biological_sample,20_08_cb,0.964765081690402,0.9990171150404434,0.08706653161164273,0.9999999999999999,1.0000000000000002,946
2020-10-22_SNV_D178N,D178N,C01,D178N-mut,positive_control,,0.9809424879654397,0.9997817277293444,0.048064169014108406,0.9999999999999999,1.0000000000000002,575
2020-10-22_SNV_D178N,D178N,C03,CJD13-21_fr_D178N,biological_sample,13_21_fr,0.9893229576310529,0.9998460801844198,0.027448891356842878,0.9999999999999999,1.0000000000000002,255
2020-10-22_SNV_D178N,D178N,C05,CJD14-24_fr_D178N,biological_sample,14_24_fr,0.9705811643640895,0.9996744651316621,0.07299332027838812,0.9999999999999999,1.0000000000000002,860
2020-10-22_SNV_D178N,D178N,C07,CJD20-08_fr_D178N,biological_sample,20_08_fr,0.9991379589518851,0.9998753560153517,0.0037946585682173124,0.9999999999999999,1.0000000000000002,15
