assay,target_class,vertex_order,gate_source,n_control_points,n_trimmed_points,min_hull_points,polygon_expansion,ch1_amplitude,ch2_amplitude
E200K,WT,43,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,9450.2398119,2052.9024299000002
E200K,WT,44,control_convex_hull_mahalanobis_trimmed,157823,157033,30,1.03,9456.2673719,1970.8447092000001
E200K,MUT,1,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,1401.6515507,2950.7823361
E200K,MUT,2,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,1199.7001305,2401.7154259999998
E200K,MUT,3,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,860.4799408000001,2122.6366891
E200K,MUT,4,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,733.5851768,2109.7843181999997
E200K,MUT,5,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,678.9360548,2204.0567265
E200K,MUT,6,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,621.7796038,2511.9661213
E200K,MUT,7,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,604.95654582,2671.2741304
E200K,MUT,8,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,586.6593848,2846.7201486
E200K,MUT,9,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,605.6866778,3732.6126838
E200K,MUT,10,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,888.71991121,5055.1145764
E200K,MUT,11,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,1223.1311267,5742.1225679
E200K,MUT,12,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,1424.1952431,5978.924996000001
E200K,MUT,13,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,1464.7733703,6021.400434699999
E200K,MUT,14,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,1554.0405039000002,6074.0238659999995
E200K,MUT,15,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,1679.5924980999998,5740.9844385
E200K,MUT,16,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,1753.3854885,5512.5090660000005
E200K,MUT,17,control_convex_hull_mahalanobis_trimmed,22763,22649,30,1.03,1743.3885042,4449.6792683
E200K,DP,1,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,6279.3663935,2605.6169843999996
E200K,DP,2,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,6198.624559600001,2498.3237590000003
E200K,DP,3,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,5973.5514522,2219.1960044
E200K,DP,4,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,5536.6891165,1881.1865281999999
E200K,DP,5,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,5052.02926,1687.4758702
E200K,DP,6,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,2798.6280037,1778.9873943999999
E200K,DP,7,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,1665.8391022,2095.1856318
E200K,DP,8,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,1562.3710084,3339.2553831
E200K,DP,9,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,1859.0511166000001,3970.5997644
E200K,DP,10,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,2377.19857,4746.7892244
E200K,DP,11,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,3165.26084,4980.9539358
E200K,DP,12,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,3903.5454142000003,5166.300622999999
E200K,DP,13,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,5097.2704032,5352.4072339
E200K,DP,14,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,6229.29866,4737.000846000001
E200K,DP,15,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,6721.79934,4347.3768543999995
E200K,DP,16,control_convex_hull_mahalanobis_trimmed,8447,8404,30,1.03,6899.51966,3869.305053
P102L,NN,1,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,1017.50620693,841.892058
P102L,NN,2,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,819.16626646,633.0583219999999
P102L,NN,3,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,539.33932623,400.40489046
P102L,NN,4,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,483.92572175,397.93468884000004
P102L,NN,5,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,452.11089223,403.078171
P102L,NN,6,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,415.10846874,414.24746422
P102L,NN,7,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,412.62930921,415.30223365999996
P102L,NN,8,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,408.9200454,416.994604
P102L,NN,9,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,400.28681715,421.07021100000003
P102L,NN,10,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,364.44320648999997,441.17300013
P102L,NN,11,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,324.84928136999997,476.78843694999995
P102L,NN,12,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,303.43815019,590.964591
P102L,NN,13,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,318.00633423,965.0147240699999
P102L,NN,14,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,320.86023145,985.27141168
P102L,NN,15,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,353.80464034,1074.7080873999998
P102L,NN,16,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,517.22543223,1282.9497691
P102L,NN,17,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,549.6021772199999,1318.6463349
P102L,NN,18,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,656.16666423,1382.6808581
P102L,NN,19,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,775.54284023,1412.6666507
P102L,NN,20,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,804.73252523,1419.6754814
P102L,NN,21,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,843.0629081499999,1422.7832077
P102L,NN,22,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,869.0864102300001,1422.2395428
P102L,NN,23,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,880.19376646,1421.0818022
P102L,NN,24,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,888.57106649,1419.1838727
P102L,NN,25,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,910.89290925,1412.7575585
P102L,NN,26,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,913.5710091599999,1411.9176656
P102L,NN,27,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,952.4485332300001,1397.7102782
P102L,NN,28,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,956.96233725,1395.2354559999999
P102L,NN,29,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,978.50423723,1382.4887322
P102L,NN,30,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,1007.44198423,1358.3764013
P102L,NN,31,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,1041.73113743,1312.5269401
P102L,NN,32,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,1086.42360993,1223.8435899
P102L,NN,33,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,1101.32553663,1153.151466
